"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0401917806302551,2,27,80.7089947089947,"GO:0001702 gastrulation with mouth forming second "," http://amigo.geneontology.org/amigo/term/GO:0001702"," GDF3  TBXT"
0.0401917806302551,5,615,8.85830429732869,"GO:0003013 circulatory system proc. "," http://amigo.geneontology.org/amigo/term/GO:0003013"," NPPB  MDM2  CPA3  SLC22A2  CXCL10"
0.0401917806302551,2,33,66.034632034632,"GO:0010818 T cell chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0010818"," CXCL10  CXCL11"
0.0401917806302551,2,33,66.034632034632,"GO:0019835 cytolysis "," http://amigo.geneontology.org/amigo/term/GO:0019835"," C6  PLA2G2A"
0.0401917806302551,2,21,103.768707482993,"GO:0030903 notochord development "," http://amigo.geneontology.org/amigo/term/GO:0030903"," TBXT  GDF3"
0.0401917806302551,3,115,28.423602484472,"GO:0045445 myoblast differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045445"," TBXT  CXCL10  GDF3"
0.0401917806302551,2,27,80.7089947089947,"GO:0045662 negative reg. of myoblast differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045662"," CXCL10  GDF3"
0.0401917806302551,2,31,70.294930875576,"GO:0046337 phosphatidylethanolamine metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0046337"," PLA2G2A  PLA2G2D"
0.0401917806302551,2,35,62.2612244897959,"GO:0050482 arachidonic acid secretion "," http://amigo.geneontology.org/amigo/term/GO:0050482"," PLA2G2D  PLA2G2A"
0.0401917806302551,5,659,8.26685454151312,"GO:0071396 cellular response to lipid "," http://amigo.geneontology.org/amigo/term/GO:0071396"," CXCL10  CXCL11  LANCL2  IL24  TBXT"
