"","x"
"1","TAC1"
"2","BAIAP2L1"
"3","USH1C"
"4","INSRR"
"5","CLXN"
"6","C6"
"7","MAGEC2"
"8","ROS1"
"9","TNFRSF17"
"10","ITIH1"
"11","GSC2"
"12","DLX3"
"13","DMRT3"
"14","TP63"
"15","CLUL1"
"16","PCDHA6"
"17","EPYC"
"18","IGSF9"
"19","APOH"
"20","TBL1Y"
"21","TPSD1"
"22","MAGEB2"
"23","SERPIND1"
"24","PVALB"
"25","MXRA5"
"26","ITIH6"
"27","CCL17"
"28","HAS1"
"29","GHRHR"
"30","PPP1R17"
"31","CRYBA1"
"32","CSF3"
"33","CCL7"
"34","CCL8"
"35","KRT32"
"36","COL1A1"
"37","PHOX2B"
"38","CALCA"
"39","DAO"
"40","GLI1"
"41","NUP107"
"42","ULBP1"
"43","SLC22A2"
"44","CDX1"
"45","COL7A1"
"46","MLPH"
"47","PLA2G2D"
"48","CR2"
"49","MMP8"
"50","ZNF541"
"51","CRYGD"
"52","TTR"
"53","SFRP5"
"54","NPPB"
"55","DPPA4"
"56","PAEP"
"57","COL10A1"
"58","C4BPA"
"59","DAW1"
"60","PI3"
"61","HIF3A"
"62","BTN1A1"
"63","PAX1"
"64","RASL11B"
"65","FOXP2"
"66","LOXL1"
"67","FOXA1"
"68","RTN4IP1"
"69","QRSL1"
"70","MTRES1"
"71","EPO"
"72","COL5A1"
"73","IDO1"
"74","ADGRE3"
"75","PPP1R1B"
"76","SEC61G"
"77","LANCL2"
"78","JCHAIN"
"79","BHMT2"
"80","CHIT1"
"81","IRS4"
"82","PEBP4"
"83","TRPM1"
"84","FST"
"85","DSG3"
"86","ELF5"
"87","AGAP2"
"88","MDM2"
"89","LMX1B"
"90","DMRT1"
"91","IGFBPL1"
"92","FGFBP2"
"93","MMP13"
"94","ITGA11"
"95","RBP4"
"96","CDK15"
"97","CXCL9"
"98","CYP11A1"
"99","MCTP2"
"100","ABCC12"
"101","SLC14A1"
"102","IGLON5"
"103","PROK1"
"104","DPT"
"105","FCRL5"
"106","HHIPL2"
"107","GDF7"
"108","TRIM43B"
"109","TRIM43"
"110","TRIM43B"
"111","ADGRG7"
"112","UCN2"
"113","GABRR1"
"114","TIAM2"
"115","FATE1"
"116","LCN2"
"117","TRIM48"
"118","PCDH15"
"119","MAT1A"
"120","THRSP"
"121","CCL28"
"122","CAPSL"
"123","CLGN"
"124","SEMA3D"
"125","GPR26"
"126","MAGEC1"
"127","CFAP161"
"128","CXCL13"
"129","CFAP107"
"130","TMSB15A"
"131","CD1B"
"132","PAGE5"
"133","TFF3"
"134","TMPRSS3"
"135","AQP5"
"136","C1orf87"
"137","IL24"
"138","NEUROD1"
"139","SPRR3"
"140","DAPL1"
"141","COL6A3"
"142","CLRN1"
"143","PPBP"
"144","CPA3"
"145","TCF23"
"146","RTP3"
"147","CSF2"
"148","TLX3"
"149","TBXT"
"150","PDSS2"
"151","SLC13A4"
"152","KCNV1"
"153","FREM1"
"154","MAMDC2"
"155","IFI27"
"156","MOGAT2"
"157","NNMT"
"158","MS4A6E"
"159","IGF2"
"160","CA4"
"161","KLK4"
"162","SOST"
"163","PNOC"
"164","PPDPFL"
"165","GBX2"
"166","MYL1"
"167","CXCL10"
"168","CXCL11"
"169","NR0B1"
"170","ELSPBP1"
"171","CXCL8"
"172","MUC15"
"173","GSX1"
"174","HOXD4"
"175","SLN"
"176","KRT8"
"177","IRX1"
"178","IRX2"
"179","HOXB9"
"180","KRT19"
"181","KRT15"
"182","LPAR3"
"183","PIK3CD"
"184","VAT1L"
"185","FOXB1"
"186","CD8B"
"187","TPSAB1"
"188","AGXT"
"189","CCL19"
"190","DELEC1"
"191","C11orf86"
"192","INSM1"
"193","SAA1"
"194","GOLGA6L2"
"195","LEP"
"196","INHBC"
"197","SCUBE2"
"198","SLC35E3"
"199","CALCB"
"200","TMPRSS7"
"201","IRX3"
"202","BEND3"
"203","OTOS"
"204","C5orf46"
"205","FOXE1"
"206","RTL3"
"207","NLRP11"
"208","ENSG00000180458"
"209","GSX2"
"210","CCL13"
"211","MAB21L2"
"212","FDCSP"
"213","ZNF716"
"214","SLC25A21"
"215","PCP4"
"216","ENSG00000183169"
"217","GDF3"
"218","MRGPRE"
"219","SRY"
"220","ENSG00000185275"
"221","NUPR2"
"222","KRT79"
"223","PRAME"
"224","AKAP14"
"225","ENSG00000186493"
"226","KRT14"
"227","SERPINA11"
"228","CFAP144"
"229","LOC388282"
"230","LOC124903372"
"231","PLA2G2C"
"232","RTP5"
"233","PLA2G2A"
"234","ENSG00000188646"
"235","LRRC66"
"236","FAM180A"
"237","MYBPC1"
"238","ZNF676"
"239","SPANXD"
"240","ADH1B"
"241","FAM180B"
"242","ENSG00000197083"
"243","TPSB2"
"244","OPALIN"
"245","ZNF695"
"246","DMBX1"
"247","ENPP1"
"248","MFAP5"
"249","ZNF560"
"250","AKR1B10"
"251","SPANXC"
"252","DLL1"
"253","SMOC1"
"254","VTRNA1-2"
"255","ENSG00000203690"
"256","CR1"
"257","OOEP"
"258","ENSG00000204528"
"259","C6orf15"
"260","ENSG00000204791"
"261","ENSG00000204894"
"262","CD177"
