"","foldchange","rawpvalue","probename","adjpvalue","expression"
"TAC1",1.44336121773248,0.000716395586851084,"TAC1",3.14484709816098,"Upregulated"
"C6",-2.31743775627026,1.49730227331791e-05,"C6",4.82469051603488,"Downregulated"
"GSC2",2.0206575616824,3.61939970488245e-05,"GSC2",4.44136345335508,"Upregulated"
"IGSF9",1.54808593051666,0.00129877287508619,"IGSF9",2.88646679020573,"Upregulated"
"TBL1Y",1.71998256843743,9.46156280784727e-05,"TBL1Y",4.02403712334791,"Upregulated"
"TPSD1",-1.71617162047768,1.56495044222391e-07,"TPSD1",6.80549941083924,"Downregulated"
"ITIH6",1.1047123912114,0.000425638016958312,"ITIH6",3.37095958884776,"Upregulated"
"PPP1R17",1.56458575473365,0.0100798458235016,"PPP1R17",1.99654611060027,"Upregulated"
"DAO",1.3117827716098,0.0404422629872453,"DAO",1.39316455101932,"Upregulated"
"NUP107",-1.17090909699219,0.0402239956253702,"NUP107",1.39551479122658,"Downregulated"
"SLC22A2",-1.74008794362822,0.0113786257929612,"SLC22A2",1.94391018491557,"Downregulated"
"PLA2G2D",-2.17953548348944,4.63254638826875e-05,"PLA2G2D",4.33418022315461,"Downregulated"
"CRYGD",-1.78419815853067,9.66804884468963e-08,"CRYGD",7.01466116412645,"Downregulated"
"NPPB",-2.01321783809155,0.00186610922921624,"NPPB",2.72906293922965,"Downregulated"
"BTN1A1",1.70050006810584,0.0012902710264917,"BTN1A1",2.88931905485835,"Upregulated"
"FOXP2",1.86898159366623,0.000174582345840091,"FOXP2",3.757999675246,"Upregulated"
"FOXA1",2.07960621479463,0.00436056461313392,"FOXA1",2.36045727392114,"Upregulated"
"QRSL1",1.12768180421034,0.000413588704889524,"QRSL1",3.38343133033755,"Upregulated"
"SEC61G",-1.52573281746933,0.0125781970655616,"SEC61G",1.90038160536073,"Downregulated"
"LANCL2",-1.07217157638846,0.010853604522303,"LANCL2",1.96442600705271,"Downregulated"
"IRS4",2.87258053874093,0.00112896237378868,"IRS4",2.94732053205931,"Upregulated"
"TRPM1",-1.11699250014423,0.00238429380358807,"TRPM1",2.62264022988181,"Downregulated"
"MDM2",-1.80887831719878,0.0116989340209114,"MDM2",1.93185370833305,"Downregulated"
"IGFBPL1",3.13275916092842,0.0061360647238768,"IGFBPL1",2.21211006804958,"Upregulated"
"ABCC12",1.96222141138374,0.00160961692054082,"ABCC12",2.79327747122973,"Upregulated"
"IGLON5",1.52520283875558,9.51198526568574e-05,"IGLON5",4.02172883112237,"Upregulated"
"FCRL5",-1.77048856231723,0.000722120347041639,"FCRL5",3.14139041780352,"Downregulated"
"GDF7",1.32508367340846,0.00879977439612669,"GDF7",2.05552846191497,"Upregulated"
"TIAM2",1.11409840712324,0.0053410153542864,"TIAM2",2.27237617352454,"Upregulated"
"TRIM48",4.27652163927093,0.0262489755989105,"TRIM48",1.58088764084551,"Upregulated"
"CLGN",2.57765875801125,9.7981481238125e-05,"CLGN",4.00885599936957,"Upregulated"
"SEMA3D",1.88309003972132,0.036630076863,"SEMA3D",1.43616217002937,"Upregulated"
"IL24",-1.61992216239218,0.0399440222162454,"IL24",1.39854820540503,"Downregulated"
"NEUROD1",3.59629285374664,0.000285129663956926,"NEUROD1",3.54495759776373,"Upregulated"
"CPA3",-1.71551659407111,0.00246944088338962,"CPA3",2.60740136607056,"Downregulated"
"TLX3",1.90783176222161,3.35646349151582e-06,"TLX3",5.47411807230431,"Upregulated"
"TBXT",-1.99315685693242,0.0408788311638229,"TBXT",1.38850153034788,"Downregulated"
"FREM1",1.7392373106832,0.0150700008074104,"FREM1",1.82188672441703,"Upregulated"
"NNMT",-1.09781769743803,0.0145445988671469,"NNMT",1.83729825187907,"Downregulated"
"PNOC",1.24682211840639,0.000895079124842295,"PNOC",3.0481385714288,"Upregulated"
"GBX2",3.05026962619963,0.0248567328073492,"GBX2",1.60455595602373,"Upregulated"
"CXCL10",-1.60338691801921,0.023464577642221,"CXCL10",1.62958725859633,"Downregulated"
"CXCL11",-1.72128668328843,0.00688966892839821,"CXCL11",2.16180164689126,"Downregulated"
"NR0B1",2.65923272380577,0.00112792956990792,"NR0B1",2.94771801768894,"Upregulated"
"HOXD4",1.95565650199913,0.00072791049633725,"HOXD4",3.13792201812724,"Upregulated"
"SLN",1.52188768543714,0.0181702926076193,"SLN",1.7406380789192,"Upregulated"
"IRX1",4.99664629055897,7.72506339750135e-06,"IRX1",5.11209794775141,"Upregulated"
"IRX2",3.53126337121351,4.61508164672898e-05,"IRX2",4.33582061134225,"Upregulated"
"TPSAB1",-1.273632712214,1.08651971268381e-07,"TPSAB1",6.96396238988452,"Downregulated"
"SAA1",-2.2560615762888,0.00182030775647432,"SAA1",2.73985518034495,"Downregulated"
"GOLGA6L2",2.47036452891014,0.00346586661378467,"GOLGA6L2",2.46018815541667,"Upregulated"
"SLC35E3",-1.50826160678716,0.00904236713514417,"SLC35E3",2.0437178638655,"Downregulated"
"BEND3",1.29782522528417,0.00147535430156743,"BEND3",2.83110367274457,"Upregulated"
"FOXE1",1.72220495946147,0.00502589979562522,"FOXE1",2.29878617444636,"Upregulated"
"SLC25A21",1.03696184770566,0.0445012554657916,"SLC25A21",1.35162773656571,"Upregulated"
"PCP4",1.32275781719521,0.00933430691896866,"PCP4",2.02991792328983,"Upregulated"
"ENSG00000183169",-1.05210551004464,0.0035619473073858,"ENSG00000183169",2.44831250943225,"Downregulated"
"GDF3",-1.24447848426729,0.0111785187297919,"GDF3",1.9516157411811,"Downregulated"
"SRY",1.0993308165187,0.000195799588472675,"SRY",3.70818822532264,"Upregulated"
"ENSG00000185275",3.24187544156836,1.27563112854253e-05,"ENSG00000185275",4.89427489144436,"Upregulated"
"ENSG00000186493",3.78344439073554,5.77863891508268e-05,"ENSG00000186493",4.23817444207739,"Upregulated"
"RTP5",3.0914782651021,0.0125546899871385,"RTP5",1.9011940068489,"Upregulated"
"PLA2G2A",-2.48223675402053,0.000964066975156811,"PLA2G2A",3.01589279396994,"Downregulated"
"ENSG00000197083",2.07033487529546,0.00206193976725639,"ENSG00000197083",2.68572402534263,"Upregulated"
"ZNF695",2.57916049211251,6.16597197095174e-07,"ZNF695",6.20999845380488,"Upregulated"
"ZNF560",2.21738388892176,0.0028631142572862,"ZNF560",2.54316132039657,"Upregulated"
"DLL1",2.18773393274563,0.00110374164637409,"DLL1",2.95713257034291,"Upregulated"
"SMOC1",2.65671949726846,0.000126867860359091,"SMOC1",3.89664838449756,"Upregulated"
"VTRNA1.2",-1.55297431814722,0.0106528555744321,"VTRNA1.2",1.97253396086498,"Downregulated"
"ENSG00000204528",-1.22170489135563,0.0376795227213022,"ENSG00000204528",1.42389460696243,"Downregulated"
"PCDHA7",-2.12620205781134,0.0135121232940775,"PCDHA7",1.86927640061191,"Downregulated"
"TRIM71",2.35125262715561,0.00429632549986829,"TRIM71",2.36690282287611,"Upregulated"
"IGLV2.23",-3.5826562243761,0.0218767825036671,"IGLV2.23",1.66001655087854,"Downregulated"
"IGLV3.21",-1.61439104304178,0.0340963342111626,"IGLV3.21",1.46729231066858,"Downregulated"
"IGLV3.19",-1.87607556189345,0.04156986199994,"IGLV3.19",1.38122141722494,"Downregulated"
