"","x"
"1","IBSP"
"2","SERPINB3"
"3","EPYC"
"4","LHX5"
"5","CCDC198"
"6","SERPINA4"
"7","VGLL1"
"8","DKK4"
"9","KLC3"
"10","MROH9"
"11","INSL4"
"12","PAEP"
"13","ARHGAP40"
"14","FEZF1"
"15","KLK8"
"16","SLCO1B1"
"17","ELF5"
"18","KRT87P"
"19","NKX2-1"
"20","IL36RN"
"21","MMP20"
"22","MMP13"
"23","RNF113B"
"24","ZIC5"
"25","CRNN"
"26","DSPP"
"27","DMP1"
"28","APOA2"
"29","SIM2"
"30","PGLYRP3"
"31","MSLNL"
"32","FGF19"
"33","IVL"
"34","SPRR3"
"35","SPRR2D"
"36","TLX3"
"37","SP8"
"38","EN2"
"39","DCSTAMP"
"40","LPO"
"41","AQP2"
"42","KLK6"
"43","C3P1"
"44","PTF1A"
"45","GBX2"
"46","SOX14"
"47","KLK7"
"48","SPRR1B"
"49","SPRR1A"
"50","ZNF280A"
"51","CST2"
"52","KRT78"
"53","KRT75"
"54","KRT6C"
"55","KRT83"
"56","C8orf74"
"57","OBP2B"
"58","FGB"
"59","MIR31HG"
"60","CBY2"
"61","DIRC1"
"62","YWHAQP4"
"63","NEUROG2"
"64","C5orf46"
"65","FAR2P1"
"66","C1orf105"
"67","HECW1-IT1"
"68","OFCC1"
"69","WT1-AS"
"70","DUSP5P1"
"71","S100A7A"
"72","IFNE"
"73","LEMD1"
"74","TMPRSS11A"
"75","PLET1"
"76","SBSN"
"77","SFTA2"
"78","NPSR1-AS1"
"79","MAGEA6"
"80","DMBX1"
"81","SERPINB13"
"82","TMPRSS11F"
"83","AKR1C4"
"84","CSAG1"
"85",""
"86","SUGCT-AS1"
"87","PRR9"
"88","LY6G6F"
"89","C6orf15"
"90","MUC21"
"91","CLLU1-AS1"
"92","LINC01602"
"93","KRT6A"
"94","BHLHA9"
"95","SERPINB4"
"96","ANKRD20A9P"
"97","PTTG3P"
"98","RPL28P1"
"99","PRDX2P4"
"100","MAGEA12"
"101","CNN2P4"
"102",""
"103","LINC02418"
"104","LINC00887"
"105","LINC01913"
"106","ZNF859P"
"107","RPL35P2"
"108","OR2A5"
"109","MAGEA3"
"110","MYBPHL"
"111",""
"112","CLDN10-AS1"
"113",""
"114","UHRF2P1"
"115","PYDC2-AS1"
"116","USP12P2"
"117",""
"118","COL4A2-AS2"
"119",""
"120",""
"121",""
"122","DUXAP9"
"123","CRIPTO3"
"124","RTRAFP1"
"125","DOCK4-AS1"
"126",""
"127","LINC00626"
"128","LEMD1-AS1"
"129","LINC01811"
"130","LINC02796"
"131","NALF1-IT1"
"132","KRT16P2"
"133","WASF1P1"
"134","LINC00355"
"135","LINC01429"
"136","MTND1P11"
"137","LINC02263"
"138","CDY4P"
"139","LINC02474"
"140",""
"141",""
"142","LINC00659"
"143",""
"144","LINC02577"
"145","ASTN2-AS1"
"146",""
"147","LINC02624"
"148","MTCYBP32"
"149","RPL35AP21"
"150",""
"151","FEZF1-AS1"
"152","NCAPD2P1"
"153","LINC01614"
"154","CSMD2-AS1"
"155","EVA1A-AS"
"156",""
"157","LINC01705"
"158","ATP11A-AS1"
"159",""
"160","ARHGEF4-AS1"
"161","LINC00460"
"162",""
"163","MTFR2P1"
"164","DTD1-AS1"
"165","MTND5P26"
"166",""
"167",""
"168",""
"169",""
"170","LINC02942"
"171","RPL38P2"
"172","RPS7P15"
"173","PRSS56"
"174","MSL3P3"
"175","LINC02042"
"176","MIF"
"177","SPRR2A"
"178","TUBAP13"
"179","RPS24P16"
"180","DNAJB6P7"
"181","LINC02027"
"182",""
"183","LINC00698"
"184","PLUT"
"185",""
"186",""
"187","EGFLAM-AS2"
"188",""
"189","ADAM20P3"
"190",""
"191","LINC01060"
"192","NEUROG2-AS1"
"193","LINC01234"
"194","CEP72-DT"
"195",""
"196","LINC02223"
"197",""
"198",""
"199","LY6G6F-LY6G6D"
"200","NIHCOLE"
"201",""
"202","LINC02882"
"203",""
"204",""
"205",""
"206","NKX2-1-AS1"
"207","ERHP1"
"208",""
"209","LY6G6E"
"210","LINC02700"
"211","SOX5-AS1"
"212","SALL3"
"213","MMP20-AS1"
"214","AQP5-AS1"
"215","KRT7-AS"
"216","LINC02404"
"217",""
"218","PPIAP45"
"219",""
"220","ZNF75BP"
"221",""
"222","MTND5P32"
"223",""
"224",""
"225","MTCYBP23"
"226",""
"227","GOLGA2P11"
"228",""
"229",""
"230",""
"231",""
"232",""
"233","TCF24"
"234","LINC01996"
"235","SMIM36"
"236","SNORD3B-2"
"237",""
"238",""
"239","LINC01896"
"240",""
"241","ANXA8L1"
"242",""
"243","ZNF415P1"
"244",""
"245",""
"246","MAGEA9B"
"247","IGFL2-AS1"
"248","CSAG3"
"249",""
"250",""
"251",""
"252",""
"253","RPAP2P1"
"254","MAGOH3P"
"255","LINC01050"
"256",""
"257",""
"258",""
"259",""
"260",""
"261",""
"262",""
"263",""
"264",""
"265",""
"266",""
"267",""
"268",""
"269",""
"270",""
"271","LINC01101"
"272","CPS1-IT1"
"273","LINC01338"
"274",""
"275",""
"276","ATP6V0CP4"
"277",""
"278","LCAL1"
"279",""
"280","MAGEA6-DT"
"281",""
"282",""
"283",""
"284",""
"285",""
"286",""
"287",""
"288",""
"289",""
"290",""
"291",""
"292",""
"293",""
"294",""
"295",""
"296",""
"297",""
"298",""
"299","LINC03113"
"300",""
"301",""
"302",""
"303",""
"304",""
"305",""
"306",""
"307",""
"308",""
"309",""
"310",""
"311",""
